YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1950,999.90,999.90,999.90,-3.40,-9.10,-6.40,-7.80,-16.90,-8.70,-4.70,-2.40,-0.50,999.90,-5.27,-10.37,-5.27,-5.62
1951,-0.90,-0.40,0.00,-0.50,-3.90,-6.90,-11.20,-8.40,-13.60,-5.40,-1.70,0.10,-0.60,-1.47,-8.83,-6.90,-4.45
1952,1.00,0.30,-1.90,-4.70,-11.00,-8.20,-11.80,-7.00,-5.70,-6.60,-3.00,-1.10,0.47,-5.87,-9.00,-5.10,-4.88
1953,-1.20,-3.00,-4.60,-12.10,-13.30,-14.30,-15.10,-9.70,-8.00,-6.20,-2.80,0.20,-1.77,-10.00,-13.03,-5.67,-7.62
1954,-0.80,0.10,-1.20,-4.60,-7.10,-11.80,-13.40,-17.40,-11.70,-2.90,-1.10,0.20,-0.17,-4.30,-14.20,-5.23,-5.97
1955,0.30,0.80,-1.30,-1.90,-4.20,-7.90,-5.90,-7.10,-6.70,-3.40,-4.00,-1.20,0.43,-2.47,-6.97,-4.70,-3.42
1956,0.80,0.90,0.30,-1.00,-1.40,-1.80,-6.00,-4.00,-6.30,-2.60,-1.40,-0.90,0.17,-0.70,-3.93,-3.43,-1.98
1957,1.10,0.90,0.20,-1.20,-3.60,-12.10,-14.10,-14.00,-4.90,-7.60,-1.10,-1.20,0.37,-1.53,-13.40,-4.53,-4.78
1958,0.40,-0.70,-2.10,-3.00,-11.80,-17.10,-18.60,-16.60,-13.40,-5.00,-0.60,-1.70,-0.50,-5.63,-17.43,-6.33,-7.47
1959,-1.40,-2.20,-1.80,-14.00,-13.90,-9.10,-20.10,-12.80,-11.00,-5.20,-4.70,-0.80,-1.77,-9.90,-14.00,-6.97,-8.16
1960,0.20,0.80,-1.60,-5.90,-5.70,-10.90,-12.40,-11.00,-4.80,-4.30,-4.00,-1.10,0.07,-4.40,-11.43,-4.37,-5.03
