YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1897,-8.41,-19.41,-9.71,-6.91,3.59,4.49,8.19,7.39,5.89,-1.31,-8.51,-7.51,-12.87,-4.34,6.69,-1.31,-2.96
1898,-16.21,-15.31,-13.61,-8.41,-3.41,2.89,10.59,999.90,999.90,-2.21,-7.41,-17.01,-13.01,-8.48,7.46,-2.04,-4.02
1899,-17.31,-13.61,-19.81,-10.01,-5.81,1.99,4.99,999.90,999.90,-0.11,-3.81,-6.61,-15.98,-11.88,4.21,0.81,-5.71
1900,-9.11,-15.91,-14.71,-8.61,-3.81,1.89,9.69,8.29,4.69,999.90,999.90,999.90,-10.54,-9.04,6.62,999.90,-3.41
1901,999.90,999.90,999.90,999.90,999.90,999.90,999.90,4.79,1.59,0.79,-14.11,-18.61,999.90,999.90,999.90,-3.91,999.90
1902,-18.81,-20.51,-25.91,-11.01,-3.21,0.49,8.69,7.89,2.09,-8.81,-16.41,-14.51,-19.31,-13.38,5.69,-7.71,-8.68
1903,-18.31,-16.71,-11.71,-8.81,-2.41,1.29,4.29,999.90,999.90,-3.91,-6.21,-10.71,-16.51,-7.64,3.51,-2.29,-5.73
1904,-9.51,-16.81,-5.91,-2.81,-2.91,6.29,9.39,9.39,999.90,4.09,-9.01,-14.31,-12.34,-3.88,8.36,0.31,-1.89
1905,-15.11,-12.11,-5.61,-7.91,-0.01,1.69,9.69,999.90,999.90,-0.01,-11.21,-11.01,-13.84,-4.51,6.41,-2.84,-3.70
1906,-16.31,-11.11,-16.21,-5.51,-1.71,3.49,7.59,7.69,4.89,1.69,-6.51,-6.81,-12.81,-7.81,6.26,0.02,-3.58
1907,-9.41,-7.41,-5.11,-1.61,-3.71,4.09,8.79,9.39,999.90,0.59,-0.91,-11.51,-7.88,-3.48,7.42,2.61,-0.33
1908,-17.21,-9.21,-12.71,-9.61,-6.81,4.99,6.79,9.29,3.89,-2.21,-11.21,-13.41,-12.64,-9.71,7.02,-3.18,-4.63
1909,-13.11,-9.71,-16.71,-12.31,-3.81,2.09,9.39,10.29,5.29,-0.81,-10.51,-12.31,-12.08,-10.94,7.26,-2.01,-4.44
1910,-15.31,-4.01,-15.01,-12.21,-0.21,2.59,7.79,999.90,999.90,999.90,999.90,999.90,-10.54,-9.14,5.91,999.90,-3.68
1911,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1912,-18.61,-26.81,-19.21,-12.31,-4.11,1.89,5.29,5.59,1.69,-4.81,999.90,-5.41,-21.67,-11.88,4.26,-4.30,-8.40
1913,-15.21,-15.21,-11.21,-5.91,-3.21,1.59,7.09,6.99,2.99,-5.21,-10.31,-9.91,-11.94,-6.78,5.22,-4.18,-4.42
1914,-22.61,-20.01,-14.41,-9.81,-1.41,3.69,5.19,7.79,3.09,-0.91,-4.11,-7.61,-17.51,-8.54,5.56,-0.64,-5.29
1915,-13.61,-8.71,-15.51,-5.41,-1.61,6.59,13.39,11.39,4.09,-0.71,-12.21,-22.61,-9.98,-7.51,10.46,-2.94,-2.49
1916,-18.01,-17.21,-15.61,-9.61,-3.71,2.49,999.90,6.49,4.69,-1.11,999.90,999.90,-19.28,-9.64,5.36,-0.95,-6.13
1917,999.90,999.90,-18.01,999.90,-4.71,0.19,4.59,999.90,999.90,999.90,999.90,999.90,999.90,-11.63,3.11,999.90,999.90
1918,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1919,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,6.59,-0.01,-9.31,-15.21,999.90,999.90,999.90,-0.91,999.90
1920,999.90,-8.51,-3.31,-7.51,0.79,999.90,9.19,999.90,999.90,999.90,999.90,999.90,-12.26,-3.34,999.90,999.90,999.90
1921,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,3.89,0.99,-3.31,-11.61,999.90,999.90,999.90,0.52,999.90
1922,-9.61,-12.81,-12.01,-9.31,0.59,9.79,999.90,9.79,8.39,0.09,-1.81,-12.01,-11.34,-6.91,10.66,2.22,-1.34
1923,-7.11,-5.91,-11.81,-11.71,-3.51,4.99,8.89,10.29,7.09,2.49,-5.21,-7.71,-8.34,-9.01,8.06,1.46,-1.96
1924,-10.41,-8.71,-10.81,-8.41,1.19,3.79,10.99,9.49,5.39,2.99,-2.01,-8.11,-8.94,-6.01,8.09,2.12,-1.19
1925,-7.01,-10.31,-15.81,-9.01,-4.21,2.29,7.19,6.59,5.79,-1.61,-9.81,-15.11,-8.48,-9.68,5.36,-1.88,-3.67
1926,-10.71,-15.51,-7.51,-8.51,-5.51,2.99,7.49,7.09,4.49,-1.41,-8.61,-11.51,-13.78,-7.18,5.86,-1.84,-4.24
1927,-13.91,-8.91,-13.91,-9.11,-1.01,5.19,7.19,9.19,5.19,-0.21,-7.11,-11.21,-11.44,-8.01,7.19,-0.71,-3.24
1928,-10.61,-8.31,-12.71,-11.01,-3.81,3.29,9.59,10.19,5.59,-2.91,-5.41,-7.01,-10.04,-9.18,7.69,-0.91,-3.11
1929,999.90,-10.01,-19.81,-13.71,-3.61,3.99,7.79,7.29,6.39,1.69,-1.41,-6.01,-8.91,-12.38,6.36,2.22,-3.18
1930,-6.31,-16.61,-17.31,-9.81,-2.81,2.89,8.79,9.79,4.09,-1.21,-0.21,-8.21,-9.64,-9.98,7.16,0.89,-2.89
1931,-13.61,-3.61,-15.01,-8.31,-1.71,3.39,9.09,10.69,6.39,2.19,-1.11,-5.61,-8.48,-8.34,7.72,2.49,-1.65
1932,-11.91,-14.71,-15.31,-7.61,-2.31,2.89,7.59,9.19,6.79,-0.81,-6.01,-12.71,-10.74,-8.41,6.56,-0.01,-3.15
1933,-7.31,-13.21,-18.11,-6.71,-3.91,2.39,8.69,8.09,4.49,-0.01,-11.41,-11.91,-11.08,-9.58,6.39,-2.31,-4.14
1934,-3.71,-9.21,-9.51,-9.01,-0.91,3.59,6.49,7.39,4.39,1.49,-2.01,-7.01,-8.28,-6.48,5.82,1.29,-1.91
1935,-11.61,-6.91,-12.01,-11.81,-2.61,3.29,8.09,7.29,4.89,-0.41,-1.21,-6.61,-8.51,-8.81,6.22,1.09,-2.50
1936,-13.61,-19.01,-13.31,-4.01,-0.91,4.49,8.99,10.29,6.09,1.79,-0.31,-3.81,-13.08,-6.08,7.92,2.52,-2.18
1937,-1.61,-8.31,-14.71,-4.71,-1.21,4.19,10.29,8.79,4.89,1.89,-1.91,-5.31,-4.58,-6.88,7.76,1.62,-0.52
1938,-4.01,-8.71,-8.51,-5.81,-1.21,5.09,8.69,8.09,6.89,0.29,-4.71,-5.71,-6.01,-5.18,7.29,0.82,-0.77
1939,-13.01,-12.21,-8.51,-10.51,-1.91,3.89,9.29,6.99,2.19,-0.61,-1.31,-8.21,-10.31,-6.98,6.72,0.09,-2.62
1940,-12.71,-9.81,-15.01,-6.91,-2.11,4.39,999.90,999.90,999.90,999.90,999.90,999.90,-10.24,-8.01,999.90,999.90,999.90
1941,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1942,999.90,999.90,999.90,999.90,999.90,999.90,8.49,8.69,5.49,999.90,999.90,999.90,999.90,999.90,7.00,999.90,999.90
1943,-12.61,-6.01,-13.31,-2.51,-0.31,5.59,11.49,8.19,6.79,-0.01,-1.11,-5.21,-8.27,-5.38,8.42,1.89,-0.83
1944,-5.41,-8.51,-9.01,-7.41,-0.81,3.39,10.29,8.29,6.59,3.49,-0.01,-0.61,-6.38,-5.74,7.32,3.36,-0.36
1945,-4.31,-7.41,-11.41,-5.11,-1.21,5.59,5.99,9.59,5.49,-1.11,-8.21,-9.71,-4.11,-5.91,7.06,-1.28,-1.06
1946,-11.51,-17.91,-11.31,-9.01,-2.91,2.69,7.59,8.39,6.49,-2.41,-8.01,-8.31,-13.04,-7.74,6.22,-1.31,-3.97
1947,-4.81,-18.61,-13.81,-4.81,-2.51,3.39,5.49,8.69,5.29,2.29,-4.41,-5.71,-10.58,-7.04,5.86,1.06,-2.68
1948,-12.21,-12.01,-14.01,-8.71,-0.71,3.99,9.29,8.49,5.89,2.49,-1.21,-11.21,-9.98,-7.81,7.26,2.39,-2.04
1949,-12.31,-16.61,-7.91,-5.41,-2.51,2.49,4.89,6.69,3.59,-1.51,-4.61,-9.81,-13.38,-5.28,4.69,-0.84,-3.70
1950,-10.21,-16.11,-9.61,-2.51,-1.81,3.59,7.09,8.89,6.49,3.29,-1.41,-6.71,-12.04,-4.64,6.52,2.79,-1.84
1951,-8.91,-8.51,-13.61,-2.41,-2.41,3.19,8.29,7.49,4.39,2.19,-9.01,-8.11,-8.04,-6.14,6.32,-0.81,-2.17
1952,-12.31,-7.21,-13.51,-8.51,-2.51,5.49,9.69,7.69,6.09,-1.21,-4.01,-13.41,-9.21,-8.18,7.62,0.29,-2.37
1953,-14.01,-11.21,-15.11,-5.51,-1.51,4.19,8.89,8.79,4.69,0.39,-0.91,-0.81,-12.88,-7.38,7.29,1.39,-2.89
1954,-6.41,-6.31,-8.91,-4.91,-0.51,5.49,11.29,9.09,5.69,2.29,-0.51,-0.71,-4.51,-4.78,8.62,2.49,0.46
1955,-5.51,-18.91,-15.31,-3.11,-2.31,4.79,8.09,7.39,5.49,1.29,-9.11,-13.31,-8.38,-6.91,6.76,-0.78,-2.33
1956,-12.41,-11.71,-4.51,-10.91,-0.71,4.29,999.90,999.90,999.90,-1.71,-7.01,-5.71,-12.48,-5.38,999.90,-1.59,-3.17
1957,-9.41,-12.51,-17.31,-6.51,-0.91,3.59,9.79,11.19,4.59,-2.41,-16.51,-16.11,-9.21,-8.24,8.19,-4.78,-3.51
1958,-9.91,-18.51,-20.01,-10.51,-4.01,3.49,7.89,6.39,2.29,-0.61,-4.71,-15.01,-14.84,-11.51,5.92,-1.01,-5.36
1959,-14.21,-9.71,-7.21,-11.11,0.19,5.19,9.89,10.29,6.29,-0.91,-0.31,-5.01,-12.98,-6.04,8.46,1.69,-2.22
1960,-13.11,-22.71,-14.81,-5.31,-1.11,4.29,12.69,8.59,5.29,-2.31,-7.31,-4.31,-13.61,-7.08,8.52,-1.44,-3.40
1961,-18.81,-12.01,-5.41,-7.31,-3.41,4.69,14.09,11.19,5.39,999.90,999.90,-17.01,-11.71,-5.38,9.99,999.90,-1.46
1962,-15.41,-11.81,-12.71,-5.91,-1.51,999.90,10.09,7.39,5.99,-1.41,-10.91,-14.91,-14.74,-6.71,7.15,-2.11,-4.10
1963,-12.81,-19.21,-22.41,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-15.64,999.90,999.90,999.90,999.90
1964,-20.11,-13.21,-13.41,-13.91,-4.31,1.79,10.29,7.79,5.19,0.89,-13.71,-8.01,-15.62,-10.54,6.62,-2.54,-5.52
1965,-9.31,-15.61,-11.41,-7.31,-4.51,3.59,9.19,9.49,5.09,-3.51,-9.81,-11.41,-10.98,-7.74,7.42,-2.74,-3.51
1966,-13.21,-22.91,-18.61,-11.01,-5.01,1.29,8.59,6.99,3.69,-6.11,-4.61,-3.91,-15.84,-11.54,5.62,-2.34,-6.03
1967,-17.11,-10.81,-7.11,-6.11,-3.91,3.09,9.69,9.49,5.89,0.69,-0.61,-8.61,-10.61,-5.71,7.42,1.99,-1.73
