YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1903,999.90,999.90,999.90,-6.30,-8.30,-12.50,-8.40,-7.50,-10.30,-2.80,-1.50,-0.30,999.90,-5.90,-9.47,-4.87,-5.32
1904,0.20,0.40,0.20,-3.90,-11.90,-8.50,-13.90,-10.80,-6.40,-7.60,-0.50,-1.80,0.10,-5.20,-11.07,-4.83,-5.25
1905,-0.40,-0.80,-0.20,-4.30,-8.20,-11.90,-16.50,-5.30,-3.30,-2.40,-1.40,0.00,-1.00,-4.23,-11.23,-2.37,-4.71
1906,1.10,0.40,-1.40,-1.60,-7.00,-12.00,-11.80,-8.50,-8.30,-4.30,-1.50,-0.40,0.50,-3.33,-10.77,-4.70,-4.58
1907,0.40,1.40,0.10,-0.90,-4.50,-11.40,-12.00,-16.70,-7.80,-4.70,-1.80,-1.40,0.47,-1.77,-13.37,-4.77,-4.86
1908,-0.10,1.20,0.20,-1.50,-4.10,-5.40,-12.50,-6.20,-2.90,-2.40,-1.30,-0.60,-0.10,-1.80,-8.03,-2.20,-3.03
1909,1.00,0.60,-0.30,-3.50,-9.40,-10.20,-12.20,-6.60,-7.50,-2.40,-2.20,-0.90,0.33,-4.40,-9.67,-4.03,-4.44
1910,-0.10,0.80,0.40,-1.90,-2.90,-5.20,-8.00,-11.50,-5.80,-3.20,-1.30,-1.50,-0.07,-1.47,-8.23,-3.43,-3.30
1911,-0.70,0.60,-0.70,-5.40,-5.90,-5.60,-8.90,-5.70,-4.00,-3.50,-4.40,-1.60,-0.53,-4.00,-6.73,-3.97,-3.81
1912,0.70,0.90,-1.60,-5.30,-9.70,-11.50,-14.30,-13.20,-5.60,-4.60,-4.10,-1.30,0.00,-5.53,-13.00,-4.77,-5.83
1913,-1.00,-0.50,-1.90,-2.40,-4.00,-14.40,-13.20,-7.80,-5.00,-5.30,-4.90,0.20,-0.93,-2.77,-11.80,-5.07,-5.14
1914,-0.20,0.60,0.40,-0.50,-3.30,-9.00,-13.40,-7.40,-6.00,-5.80,-3.10,-0.10,0.20,-1.13,-9.93,-4.97,-3.96
1915,-0.60,-0.40,-0.60,-4.60,-11.10,-13.40,-14.30,-18.00,-6.20,-3.40,-1.90,-1.40,-0.37,-5.43,-15.23,-3.83,-6.22
1916,0.10,0.00,-1.30,-5.30,-12.60,-10.60,-11.20,-7.60,-11.20,-4.30,-1.30,-0.60,-0.43,-6.40,-9.80,-5.60,-5.56
1917,0.40,0.60,0.20,-0.50,-1.80,-10.20,-6.90,-8.70,-11.30,-1.80,-0.40,0.30,0.13,-0.70,-8.60,-4.50,-3.42
1918,1.90,1.10,0.20,-1.80,-9.10,-6.60,-7.60,-16.20,-5.00,-0.50,-1.40,-0.40,1.10,-3.57,-10.13,-2.30,-3.73
1919,0.90,0.80,0.40,-3.80,-8.60,-8.50,-6.90,-3.80,-4.60,-3.50,-4.90,0.20,0.43,-4.00,-6.40,-4.33,-3.58
1920,0.30,0.00,-1.00,-1.70,-5.80,-8.90,-10.00,-8.90,-8.80,-8.40,-2.00,-1.50,0.17,-2.83,-9.27,-6.40,-4.58
1921,-0.70,-0.20,-0.50,-1.50,-10.80,-6.10,-9.80,-13.30,-6.40,-1.90,-3.20,-0.90,-0.80,-4.27,-9.73,-3.83,-4.66
1922,0.40,0.80,-1.40,-3.70,-9.80,-10.00,-6.80,-9.70,-6.20,-3.40,-0.40,-0.10,0.10,-4.97,-8.83,-3.33,-4.26
1923,0.50,1.20,0.10,-2.60,-3.90,-7.80,-9.40,-9.80,-11.80,-3.10,-1.70,-2.30,0.53,-2.13,-9.00,-5.53,-4.03
1924,-0.50,-2.50,-2.60,-5.80,-9.20,-8.00,-14.50,-7.30,-5.70,-2.10,-2.80,-0.30,-1.77,-5.87,-9.93,-3.53,-5.28
1925,0.30,0.80,-1.00,-1.20,-3.60,-10.60,-9.50,-9.00,-10.60,-6.60,-2.60,-0.20,0.27,-1.93,-9.70,-6.60,-4.49
1926,1.10,1.80,-0.90,-3.30,-3.80,-14.70,-10.40,-6.30,-6.80,-7.60,-1.30,-0.20,0.90,-2.67,-10.47,-5.23,-4.37
1927,0.20,-0.70,-0.50,-3.30,-6.40,-9.50,-11.20,-17.70,-8.50,-4.40,-3.60,-0.20,-0.23,-3.40,-12.80,-5.50,-5.48
1928,0.50,-0.10,0.00,-7.50,-15.00,-15.90,-11.60,-12.90,-8.10,-5.10,-2.90,-1.50,0.07,-7.50,-13.47,-5.37,-6.57
1929,-1.00,-1.00,-2.40,-5.60,-6.70,-14.70,-12.10,-14.70,-4.00,-2.20,-0.70,-0.80,-1.17,-4.90,-13.83,-2.30,-5.55
1930,0.20,-0.10,-1.10,-7.00,-6.10,-18.10,-21.20,-10.80,-6.40,-9.50,-2.30,-1.10,-0.23,-4.73,-16.70,-6.07,-6.93
1931,-1.30,-0.50,-1.80,-4.40,-4.00,-9.00,-6.40,-6.50,-10.70,-4.60,-3.30,-1.50,-0.97,-3.40,-7.30,-6.20,-4.47
1932,0.30,-0.20,-0.90,-2.50,-5.90,-19.60,-16.30,-7.30,-3.50,-2.50,-1.10,-1.40,-0.47,-3.10,-14.40,-2.37,-5.08
1933,-0.10,-0.40,-0.30,-3.70,-6.30,-11.80,-7.70,-12.40,-5.80,-7.00,-4.00,-2.20,-0.63,-3.43,-10.63,-5.60,-5.08
1934,0.20,-1.00,-1.40,-2.70,-9.40,-13.70,-8.70,-8.40,-5.80,-2.70,-1.10,0.10,-1.00,-4.50,-10.27,-3.20,-4.74
1935,0.30,0.50,1.00,-3.20,-3.60,-6.50,-17.00,-14.90,-12.80,-3.90,-3.40,-0.80,0.30,-1.93,-12.80,-6.70,-5.28
1936,0.00,1.20,0.40,-0.70,-7.90,-12.90,-7.60,-8.40,-4.90,-2.50,-0.80,1.10,0.13,-2.73,-9.63,-2.73,-3.74
1937,1.30,0.70,0.90,-1.50,-2.10,-6.20,-8.80,-11.80,-3.00,-2.80,-1.10,-0.60,1.03,-0.90,-8.93,-2.30,-2.78
1938,0.20,-0.40,-0.70,-1.50,-9.00,-9.50,-10.80,-12.00,-8.60,-2.20,-3.00,-1.40,-0.27,-3.73,-10.77,-4.60,-4.84
1939,0.40,0.90,-0.50,-2.40,-5.70,-16.30,-13.10,-19.50,-7.60,-1.80,-2.30,-1.10,-0.03,-2.87,-16.30,-3.90,-5.78
1940,0.20,1.00,0.40,-2.50,-6.20,-8.10,-9.60,-9.40,-4.80,-5.00,-1.10,-0.10,0.03,-2.77,-9.03,-3.63,-3.85
1941,1.00,1.10,-1.40,-2.90,-3.90,-7.60,-6.20,-12.10,-9.60,-5.20,-2.90,-1.10,0.67,-2.73,-8.63,-5.90,-4.15
1942,0.10,0.70,-1.80,-7.20,-8.60,-11.30,-5.00,-6.10,-10.30,-7.30,-3.90,-0.90,-0.10,-5.87,-7.47,-7.17,-5.15
1943,0.10,0.20,-0.80,-1.40,-10.00,-3.70,-4.00,-5.00,-3.20,-1.90,-1.00,-0.20,-0.20,-4.07,-4.23,-2.03,-2.63
1944,0.70,0.60,1.40,-0.70,-3.60,-9.10,-8.40,-10.10,-8.80,-4.90,-3.40,-1.10,0.37,-0.97,-9.20,-5.70,-3.88
1945,-1.00,0.10,-2.30,-8.40,-11.40,-18.50,-13.40,-13.80,-8.70,-2.10,-4.20,-1.00,-0.67,-7.37,-15.23,-5.00,-7.07
