YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,-3.36,-4.96,-5.56,-1.86,1.74,5.74,8.44,10.54,7.64,0.04,-3.66,-5.26,-3.61,-1.89,8.24,1.34,1.02
1881,-7.66,-7.96,-8.26,-4.16,-0.76,3.64,7.64,8.64,5.34,3.24,-3.16,-2.86,-6.96,-4.39,6.64,1.81,-0.73
1882,-4.06,-5.46,-4.16,-0.96,1.84,4.54,9.94,11.14,7.84,3.60,-3.70,-6.40,-4.13,-1.09,8.54,2.58,1.48
1883,-4.40,-2.90,-4.00,1.40,3.00,8.00,8.00,8.00,5.30,1.30,0.30,-3.40,-4.57,0.13,8.00,2.30,1.47
1884,-6.00,-3.40,-2.00,-3.90,0.20,5.70,8.50,8.70,6.70,2.50,-1.50,-5.90,-4.27,-1.90,7.63,2.57,1.01
1885,-7.00,-3.70,-3.90,-1.20,-0.40,4.30,9.40,9.20,5.80,-0.60,-3.20,-5.80,-5.53,-1.83,7.63,0.67,0.23
1886,-8.00,-4.30,-2.50,-2.10,0.90,4.80,9.20,9.50,5.80,3.30,-0.20,-5.20,-6.03,-1.23,7.83,2.97,0.88
1887,-2.90,-2.10,-4.70,-0.40,4.30,5.00,9.50,8.90,6.90,-0.20,-3.40,-6.80,-3.40,-0.27,7.80,1.10,1.31
1888,-7.00,-7.80,-7.40,-3.60,1.30,5.00,7.50,8.50,4.90,0.30,-2.20,-4.90,-7.20,-3.23,7.00,1.00,-0.61
1889,-5.30,-6.00,-5.90,-0.60,3.60,7.10,8.10,9.40,7.10,3.80,0.50,-1.20,-5.40,-0.97,8.20,3.80,1.41
1890,-5.00,-2.40,-2.40,-1.10,1.30,5.80,9.70,10.00,8.40,1.20,-2.20,-1.80,-2.87,-0.73,8.50,2.47,1.84
1891,-6.50,-3.10,-5.50,-1.20,0.70,4.80,8.70,6.50,4.80,2.10,-2.80,-3.20,-3.80,-2.00,6.67,1.37,0.56
1892,-7.50,-7.00,-1.90,-2.00,1.00,4.30,7.10,7.50,6.40,-0.40,-1.10,-7.80,-5.90,-0.97,6.30,1.63,0.27
1893,-9.10,-8.40,-7.50,-2.70,2.10,4.60,7.10,7.90,3.90,2.20,-4.80,-3.70,-8.43,-2.70,6.53,0.43,-1.04
1894,-3.60,-4.20,-4.30,0.90,3.60,7.40,9.50,10.90,4.40,-0.50,-2.10,-5.00,-3.83,0.07,9.27,0.60,1.52
1895,-6.70,-7.20,-6.00,-1.20,3.80,7.30,7.60,7.50,6.00,1.20,-1.30,-2.60,-6.30,-1.13,7.47,1.97,0.50
1896,-6.90,-4.50,-3.10,0.60,3.40,6.30,9.50,9.00,7.00,1.00,-3.60,-3.90,-4.67,0.30,8.27,1.47,1.34
1897,-3.20,-7.10,-6.10,2.20,7.30,5.70,9.30,8.70,7.20,3.40,-1.80,-4.60,-4.73,1.13,7.90,2.93,1.81
1898,-4.60,-6.00,-5.20,1.40,3.70,6.60,10.50,10.40,8.20,2.20,-1.60,-5.10,-5.07,-0.03,9.17,2.93,1.75
1899,-6.20,-6.40,-7.80,-3.20,-0.50,4.10,8.70,8.00,7.30,1.00,-1.00,-4.60,-5.90,-3.83,6.93,2.43,-0.09
1900,-5.60,-8.30,-4.90,-1.10,1.40,4.00,5.80,7.80,4.30,1.80,0.30,-5.60,-6.17,-1.53,5.87,2.13,0.07
1901,-1.90,-8.90,-5.10,0.10,1.60,6.50,9.40,7.80,7.50,5.50,-2.80,-6.50,-5.47,-1.13,7.90,3.40,1.18
1902,-7.40,-7.30,-8.00,-3.60,0.30,2.90,7.20,7.20,4.50,-1.90,-2.10,-1.80,-7.07,-3.77,5.77,0.17,-1.23
1903,-5.50,-4.40,-1.90,-1.10,2.00,5.90,7.10,7.60,5.30,-0.60,-1.20,-3.10,-3.90,-0.33,6.87,1.17,0.95
1904,-2.80,-7.30,-3.80,0.80,2.00,6.20,8.10,8.60,7.30,3.90,-3.60,-6.30,-4.40,-0.33,7.63,2.53,1.36
1905,-4.80,-5.50,-3.20,-1.00,3.30,5.90,8.80,9.00,7.00,0.40,-3.00,-2.20,-5.53,-0.30,7.90,1.47,0.88
1906,-3.20,-5.00,-6.00,-0.80,2.40,6.30,8.90,6.80,6.10,2.00,-2.00,-3.50,-3.47,-1.47,7.33,2.03,1.11
1907,-8.40,-3.90,-1.40,0.60,1.40,7.80,8.70,8.40,5.10,3.20,0.60,-5.10,-5.27,0.20,8.30,2.97,1.55
1908,-4.90,-5.60,-2.80,-0.70,1.80,6.50,8.40,8.20,5.90,2.60,-2.90,-2.30,-5.20,-0.57,7.70,1.87,0.95
1909,-2.90,-4.10,-4.70,-3.10,0.90,4.50,8.60,10.20,7.00,2.80,-3.30,-4.00,-3.10,-2.30,7.77,2.17,1.13
1910,-4.30,-1.70,-2.10,-1.60,2.90,4.90,6.70,6.70,5.90,0.30,-2.50,-3.70,-3.33,-0.27,6.10,1.23,0.93
1911,-4.00,-6.30,-3.70,-2.30,3.00,5.20,8.50,9.00,7.50,0.20,0.00,-1.50,-4.67,-1.00,7.57,2.57,1.12
1912,-7.00,-10.00,-4.80,-3.10,0.80,4.70,8.60,7.90,4.80,-0.50,-1.70,-4.00,-6.17,-2.37,7.07,0.87,-0.15
1913,-3.40,-5.30,-3.80,-0.30,1.50,5.00,10.80,10.00,6.70,0.00,-0.80,-3.30,-4.23,-0.87,8.60,1.97,1.37
1914,-6.20,-4.80,-4.30,-0.50,3.10,7.20,8.80,8.70,6.20,2.80,-0.60,-2.90,-4.77,-0.57,8.23,2.80,1.43
1915,-5.50,-6.00,-6.90,0.30,1.30,5.20,10.30,9.50,5.20,1.90,-3.30,-7.70,-4.80,-1.77,8.33,1.27,0.76
1916,-5.30,-4.50,-5.40,-2.40,-0.50,4.80,9.90,8.30,5.90,0.30,-0.30,-4.20,-5.83,-2.77,7.67,1.97,0.26
1917,-6.00,-9.20,-7.40,-3.40,-0.80,6.10,8.10,8.90,5.30,2.30,-2.40,-4.90,-6.47,-3.87,7.70,1.73,-0.23
1918,-9.50,-5.80,-3.00,0.20,1.00,5.90,8.40,7.50,6.70,2.30,0.70,-3.00,-6.73,-0.60,7.27,3.23,0.79
1919,-4.10,-7.00,-4.50,-2.60,3.20,7.40,9.40,9.50,7.20,1.50,-2.90,-4.80,-4.70,-1.30,8.77,1.93,1.18
1920,-6.20,-4.30,-0.40,0.10,4.70,7.10,11.30,10.70,8.00,2.20,0.40,-1.10,-5.10,1.47,9.70,3.53,2.40
1921,-5.40,-4.80,-2.70,1.70,4.90,8.70,8.70,9.80,6.40,0.90,-2.40,-3.10,-3.77,1.30,9.07,1.63,2.06
1922,-4.20,-3.80,-4.30,-0.70,4.50,7.60,10.80,9.80,9.00,3.10,0.80,-4.30,-3.70,-0.17,9.40,4.30,2.46
1923,-2.70,-4.60,-2.60,-1.90,1.80,6.00,9.40,8.00,6.80,3.50,-0.90,-2.80,-3.87,-0.90,7.80,3.13,1.54
1924,-4.60,-7.00,-4.30,-1.80,2.60,4.40,8.90,11.20,7.60,4.50,-0.10,-1.20,-4.80,-1.17,8.17,4.00,1.55
1925,-1.10,-3.60,-5.30,-1.00,2.00,5.60,10.00,9.50,7.10,1.20,-3.00,-5.10,-1.97,-1.43,8.37,1.77,1.68
1926,-5.10,-6.60,-3.30,-1.70,1.30,4.70,7.30,8.00,7.00,0.40,-1.20,-4.90,-5.60,-1.23,6.67,2.07,0.48
1927,-7.20,-3.50,-4.50,-1.30,1.00,5.40,10.10,10.10,5.70,0.80,-2.50,-3.70,-5.20,-1.60,8.53,1.33,0.77
1928,-4.30,-3.10,-2.20,-0.40,2.10,4.60,9.00,9.50,7.40,0.30,-2.60,-2.90,-3.70,-0.17,7.70,1.70,1.38
1929,-6.00,-5.40,-6.00,-4.80,2.60,4.60,7.60,9.40,7.10,3.00,0.60,-0.30,-4.77,-2.73,7.20,3.57,0.82
1930,-1.70,-3.80,-4.50,-0.80,3.40,6.60,9.70,10.20,4.80,2.50,-0.10,-3.00,-1.93,-0.63,8.83,2.40,2.17
1931,-5.10,-6.10,-4.90,-1.00,2.90,4.20,10.20,9.60,5.20,2.20,0.90,-0.90,-4.73,-1.00,8.00,2.77,1.26
1932,-3.20,-4.80,-4.40,-0.90,1.00,5.10,8.00,9.50,6.40,1.60,-0.80,-0.70,-2.97,-1.43,7.53,2.40,1.38
1933,-2.60,-5.50,-5.30,-1.80,2.10,6.30,9.70,10.00,7.30,2.30,-0.80,-3.30,-2.93,-1.67,8.67,2.93,1.75
1934,-1.90,-5.30,-2.80,-2.50,4.20,5.60,10.10,9.60,9.20,3.60,0.20,-0.40,-3.50,-0.37,8.43,4.33,2.22
1935,-4.20,-4.40,-2.50,-0.60,1.10,6.60,7.70,9.40,5.50,3.30,1.20,-1.60,-3.00,-0.67,7.90,3.33,1.89
1936,-5.40,-7.50,-5.40,-0.50,4.50,8.30,8.40,10.90,6.40,2.50,0.40,-0.60,-4.83,-0.47,9.20,3.10,1.75
1937,-2.40,-5.20,-4.00,1.70,4.20,8.70,10.50,12.70,7.70,4.30,-0.60,-3.90,-2.73,0.63,10.63,3.80,3.08
